countryname,countrycode,group,gwgroupid,years,religiousminority,lingualculturalminority,economicdisadvantage,cumulativeindex,size,polityscore,conflictlevel,status,numericstatus,reg_aut
Pakistan,770,Ahmadis,7.70E+07,2008,1,1,1,3,0.022,5,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2009,1,1,1,3,0.022,5,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2010,1,1,1,3,0.022,6,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2011,1,1,1,3,0.022,6,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2012,1,1,1,3,0.022,6,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2013,1,1,1,3,0.022,7,1,DISCRIMINATED,2,FALSE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1947,0,1,0,1,0.014063,,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1948,0,1,0,1,0.014063,,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1949,0,1,0,1,0.014,,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1950,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1951,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1952,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1953,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1954,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1955,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1956,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1957,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1958,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1959,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1960,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1961,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1962,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1963,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1964,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1965,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1966,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1967,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1968,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1969,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1970,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1971,0,1,0,1,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1972,0,1,1,2,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1973,0,1,1,2,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1974,0,1,1,2,0.014,9,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1975,0,1,1,2,0.014,7,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1976,0,1,1,2,0.014,7,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1977,0,1,1,2,0.014,8,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1978,0,1,1,2,0.014,8,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1979,0,1,1,2,0.014,8,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1980,0,1,1,2,0.014,8,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1981,0,1,1,2,0.014,8,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1982,0,1,1,2,0.014,8,0,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1983,0,1,1,2,0.014,8,1,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1984,0,1,1,2,0.014,8,1,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1985,0,1,0,1,0.014,8,1,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1986,0,1,0,1,0.014,8,1,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1987,0,1,0,1,0.014,8,1,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1988,0,1,1,2,0.014,8,1,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1989,0,1,1,2,0.014,8,1,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1990,0,1,1,2,0.014,8,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1991,0,1,1,2,0.014,8,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1992,0,1,1,2,0.014,8,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1993,0,1,1,2,0.014,8,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1994,0,1,1,2,0.014,8,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1995,0,1,1,2,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1996,0,1,1,2,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1997,0,1,1,2,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1998,0,1,1,2,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,1999,0,1,1,2,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2000,0,1,1,2,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2001,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2002,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2003,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2004,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2005,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2006,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2007,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2008,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2009,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2010,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2011,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2012,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
India,750,Assamese (non-SC/ST/OBCs),7.50E+07,2013,0,1,0,1,0.014,9,2,JUNIOR PARTNER,4,TRUE
Pakistan,770,Baluchis,7.70E+07,1947,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1948,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1949,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1950,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1951,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1952,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1953,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1954,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1955,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1956,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1957,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1958,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1959,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1960,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1961,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1962,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1963,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1964,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1965,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1966,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1967,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1968,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1969,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1970,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1971,0,1,1,2,0.01,,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1972,0,1,1,2,0.03,4,0,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1973,0,1,1,2,0.03,8,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1974,0,1,1,2,0.03,8,3,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,1975,0,1,1,2,0.03,8,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,1976,0,1,1,2,0.03,8,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,1977,0,1,0,1,0.03,-7,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,1978,0,1,0,1,0.03,-7,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1979,0,1,0,1,0.03,-7,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1980,0,1,0,1,0.03,-7,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1981,0,1,0,1,0.03,-7,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1982,0,1,0,1,0.03,-7,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1983,0,1,0,1,0.03,-7,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1984,0,1,0,1,0.03,-7,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1985,0,1,0,1,0.03,-4,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1986,0,1,1,2,0.03,-4,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1987,0,1,1,2,0.03,-4,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1988,0,1,1,2,0.03,8,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1989,0,1,1,2,0.03,8,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1990,0,1,1,2,0.03,8,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1991,0,1,1,2,0.03,8,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1992,0,1,1,2,0.03,8,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1993,0,1,1,2,0.03,8,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1994,0,1,1,2,0.03,8,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1995,0,1,1,2,0.03,8,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1996,0,1,1,2,0.03,8,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1997,0,1,1,2,0.03,7,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1998,0,1,1,2,0.03,7,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,1999,0,1,1,2,0.03,-6,2,POWERLESS,3,FALSE
Pakistan,770,Baluchis,7.70E+07,2000,0,1,1,2,0.03,-6,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2001,0,1,1,2,0.03,-6,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2002,0,1,1,2,0.03,-5,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2003,0,1,1,2,0.03,-5,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2004,0,1,1,2,0.03,-5,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2005,0,1,1,2,0.03,-5,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2006,0,1,1,2,0.03,-5,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2007,0,1,1,2,0.03,2,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2008,0,1,1,2,0.03,5,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2009,0,1,1,2,0.03,5,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2010,0,1,1,2,0.03,6,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2011,0,1,1,2,0.03,6,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2012,0,1,1,2,0.03,6,2,DISCRIMINATED,2,FALSE
Pakistan,770,Baluchis,7.70E+07,2013,0,1,1,2,0.03,7,2,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1947,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1948,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1949,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1950,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1951,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1952,0,1,1,2,0.55,,2,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1953,0,1,1,2,0.55,,0,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1954,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1955,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1956,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1957,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1958,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1959,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1960,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1961,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1962,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1963,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1964,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1965,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1966,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1967,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1968,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1969,0,1,1,2,0.55,,1,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1970,0,1,1,2,0.55,,2,DISCRIMINATED,2,FALSE
Pakistan,770,Bengali,7.70E+07,1971,0,1,1,2,0.55,,3,DISCRIMINATED,2,FALSE
India,750,Bengali (non-SC/ST),7.50E+07,1947,0,1,0,1,0.039176,,0,JUNIOR PARTNER,4,TRUE
India,750,Bengali (non-SC/ST),7.50E+07,1948,0,1,0,1,0.039176,,0,JUNIOR PARTNER,4,TRUE
India,750,Bengali (non-SC/ST),7.50E+07,1949,0,1,0,1,0.039,,0,JUNIOR PARTNER,4,TRUE
India,750,Bengali (non-SC/ST),7.50E+07,1950,0,1,0,1,0.039,9,0,JUNIOR PARTNER,4,TRUE
India,750,Bengali (non-SC/ST),7.50E+07,1951,0,1,0,1,0.039,9,0,JUNIOR PARTNER,4,TRUE
India,750,Bengali (non-SC/ST),7.50E+07,1952,0,1,0,1,0.039,9,0,JUNIOR PARTNER,4,TRUE
India,750,Bengali (non-SC/ST),7.50E+07,1953,0,1,0,1,0.039,9,0,JUNIOR PARTNER,4,TRUE
India,750,Bengali (non-SC/ST),7.50E+07,1954,0,1,0,1,0.039,9,0,JUNIOR PARTNER,4,TRUE
India,750,Bengali (non-SC/ST),7.50E+07,1955,0,1,0,1,0.039,9,0,JUNIOR PARTNER,4,TRUE
India,750,Bengali (non-SC/ST),7.50E+07,1956,0,1,0,1,0.039,9,0,JUNIOR PARTNER,4,TRUE
